sound,midpoint,word,phoneme,duration,intensity,F0,F1,F2,F3
ngm_03397_00002105279,0.45,,,0.9,,,1160.675855572852,2387.5913895051385,3228.5607877839593
ngm_03397_00002105279,0.9650000000000001,abjuration,a,0.13,,,582.7961370588386,1217.193857581681,1879.6654562633971
ngm_03397_00002105279,1.065,abjuration,b,0.07000000000000006,,,172.05289051032588,1216.7441562763474,2026.2681946548148
ngm_03397_00002105279,1.135,abjuration,dʒ,0.06999999999999984,,,1528.433289473336,2459.1124611617606,3307.826582046279
ngm_03397_00002105279,1.1949999999999998,abjuration,u,0.050000000000000044,,,275.97664707663426,1670.793365971223,2677.5353675501674
ngm_03397_00002105279,1.29,abjuration,ɹ,0.14000000000000012,,,362.4819721661877,1295.3288352756495,1579.81573730475
ngm_03397_00002105279,1.4100000000000001,abjuration,e,0.09999999999999987,,,340.4938814999734,1829.5682554720029,2568.9886029333893
ngm_03397_00002105279,1.525,abjuration,ʃ,0.13000000000000012,,,1363.8151197195496,2564.5037191899155,3134.5586968783578
ngm_03397_00002105279,1.6400000000000001,abjuration,ɔ,0.09999999999999987,,,402.1934788788013,1285.8640379511162,2165.825233711391
ngm_03397_00002105279,1.74,abjuration,n,0.10000000000000009,,,244.19417416008173,1318.9522005626445,2425.3643035197138
ngm_03397_00002105279,1.815,is,i,0.050000000000000044,,,370.1276462745401,2354.2186164132268,2681.9826237695343
ngm_03397_00002105279,1.8900000000000001,is,z,0.09999999999999987,,,271.7516541565264,1609.505557672619,3259.6494731166936
ngm_03397_00002105279,1.9649999999999999,the,ð,0.050000000000000044,,,700.1064979565856,2078.5220409297435,3369.589684887796
ngm_03397_00002105279,2.015,the,i,0.050000000000000044,,,307.40748327980305,1599.3857674681312,2303.2965760325005
ngm_03397_00002105279,2.15,solemn,s,0.21999999999999975,,,1321.1482688174447,1804.038434916675,3420.774324490526
ngm_03397_00002105279,2.3,solemn,ɔ,0.08000000000000007,,,403.75539247830335,1138.9772157539658,2197.431543539153
ngm_03397_00002105279,2.3899999999999997,solemn,l,0.10000000000000009,,,318.6408993312585,1502.9136181354745,2177.2015010260943
ngm_03397_00002105279,2.485,solemn,ɛ,0.08999999999999986,,,444.83886098511897,1684.3081313694752,2280.9346680252897
ngm_03397_00002105279,2.58,solemn,m,0.10000000000000009,,,265.64559809167616,1124.8462507613144,1952.9363149971196
ngm_03397_00002105279,3.07,repudiation,spn,0.8799999999999999,,,241.49982030213175,2107.4213310027876,2922.9504477469286
ngm_03397_00002105279,3.535,abandonment,a,0.050000000000000266,,,388.773154683057,944.6066789654329,1816.427948737045
ngm_03397_00002105279,3.6100000000000003,abandonment,b,0.10000000000000009,,,158.7913460859263,927.0359047485371,2446.168204190688
ngm_03397_00002105279,3.7199999999999998,abandonment,a,0.11999999999999966,,,562.4618852038136,919.2502394709929,2167.4998582423696
ngm_03397_00002105279,3.8099999999999996,abandonment,n,0.06000000000000005,,,357.78098237889066,2132.0482231167903,2453.0091643726983
ngm_03397_00002105279,3.865,abandonment,d,0.050000000000000266,,,186.2655752214684,2151.4141674393222,3378.3486749138947
ngm_03397_00002105279,3.925,abandonment,ɔ,0.06999999999999984,,,360.6946353258432,937.742861549581,2056.8004233978563
ngm_03397_00002105279,3.995,abandonment,n,0.07000000000000028,,,211.79892805149314,1183.015098091618,2413.201750811779
ngm_03397_00002105279,4.050000000000001,abandonment,m,0.040000000000000036,,,223.63216653816752,1115.6177260549498,2365.776590479795
ngm_03397_00002105279,4.130000000000001,abandonment,ɛ,0.1200000000000001,,,299.15387828735635,1196.7595638182675,2282.5711583179145
ngm_03397_00002105279,4.225,abandonment,n,0.0699999999999994,,,208.46270521877477,1013.3533107757779,2411.8812901629985
ngm_03397_00002105279,4.3149999999999995,abandonment,t,0.11000000000000032,,,1041.289178298651,1937.0231037626636,3121.024471979724
ngm_03397_00002105279,4.54,,,0.33999999999999986,,,808.2073953620419,1226.188553415898,2649.9844266206537
